name,location,length,gain,highpoint,rating,features,description,trip,length_total,location_general
Lake Janus and Grizzly Peak,Central Cascades -- Stevens Pass - East,"16.6 miles, roundtrip",2525,5550,3.17,Wildflowers/Meadows|Ridges/passes|Wildlife|Established campsites|Mountain views|Dogs allowed on leash|Summits|Good for kids|Lakes,"A stroll north on the Pacific Crest Trail to tranquil Lake Janus and neighboring Grizzly Peak offers panoramas of the Central Cascades’ finest peaks and undulating meadows blanketed with wildflowers as far as the eye can see. Traveled by sauntering day hikers, first-time backpackers and dedicated thru-hikers bound for Canada, this well-graded trail has a little something for everyone.",roundtrip,16.6,Central Cascades
Perry Creek,North Cascades -- Mountain Loop Highway,"10.5 miles, roundtrip",3400,5250,4.24,Wildflowers/Meadows|Ridges/passes|Dogs allowed on leash|Fall foliage|Mountain views|Old growth|Summits|Waterfalls,"Perry Creek proves you can have it all in a single hike – old-growth forest, wildflowers, waterfalls, meadows, expansive mountain views, even lakes! Tread lightly, though-due to its unparalleled diversity of native plants, the area between the summits of Stillaguamish Peak, Mount Forgotten, and Mount Dickerman is a research natural area that could (in theory) be closed to all uses but scientific study.",roundtrip,10.5,North Cascades
Lake Serene,Central Cascades -- Stevens Pass - West,"8.2 miles, roundtrip",2000,2521,4.46,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls|Good for kids|Lakes,Lake Serene and Bridal Veil Falls compete for attention on this 7.2 mile trip. Either would be a worthy destination by themselves and combined they are a great day on the trail.,roundtrip,8.2,Central Cascades
Lake Ingalls,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.0 miles, roundtrip",2500,6500,4.28,Ridges/passes|Wildlife|Dogs not allowed|Lakes|Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls|Fall foliage,"There's no question why Ingalls Lake is one of the most popular destinations in the Alpine Lakes Wilderness. It is a stunning blue lake, set high in a basin beneath rocky peaks, showcasing striking Mount Stuart as its backdrop. The trail to this treasure is filled with delights, both for the summer adventurer as well as for those hikers who appreciate fall colors. Views of the craggy Esmeralda Peaks, a walk through beautiful Headlight Basin plus a pretty picture of the imposing Stuart Range are just a few of the wonders along the way.",roundtrip,9,Snoqualmie Region
Lyle Cherry Orchard,Southwest Washington -- Columbia River Gorge - WA,"5.0 miles, roundtrip",1050,1100,3.67,Wildflowers/Meadows|Mountain views|Rivers,"This little-known gem of a hike on the Washington side of the Columbia River Gorge offers spectacular views of the Columbia River, amazing spring wildflowers and an old garry oak forest of gnarled old trees. This stunning preserve is owned by the Friends of the Columbia Gorge and tops out in an old cherry orchard with a few surviving trees.",roundtrip,5,Southwest Washington
Maury Island Marine Park,Puget Sound and Islands -- Seattle-Tacoma Area,3.0 miles of trails,500,500,4.00,Wildlife|Good for kids|Dogs allowed on leash|Coast,Maury Island Marine Park is located on the east side of Maury Island which is connected to Vashon Island. There is more than one mile of natural shoreline with stunning views of Mount Rainier and the Cascade Mountains. The park is a former gravel mine and contains rare stands of the Pacific Madrone tree. The accessible shoreline allows for scuba diving and an excellent beach walk to observe marine life with a salt marsh at the north end.,trails,3,Puget Sound and Islands
Marmot Pass,Olympic Peninsula -- Hood Canal,"11.5 miles, roundtrip",3489,6000,4.46,Ridges/passes|Wildlife|Rivers|Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Good for kids,"Marmot Pass offers great views and a gentle hike through old-growth forest as well as high meadows. It is a great day hike, but also offers a great starting place for a variety of overnight options.",roundtrip,11.5,Olympic Peninsula
Granite Creek Trail to Granite Lakes,Snoqualmie Region -- North Bend Area,"8.8 miles, roundtrip",2270,3070,4.02,Mountain views|Wildlife|Waterfalls|Old growth|Dogs allowed on leash|Fall foliage|Rivers,"Granite Creek courses through the gorge between Mailbox Peak and Russian Butte. Ascend through the creek’s ravine, immersed in mountain rainforest, alongside whitewater rapids, waterfalls, wildflowers, and mushrooms, while you take in majestic views of the mountains of the Middle Fork valley. Seasonal treats include berries and fall colors.",roundtrip,8.8,Snoqualmie Region
Cascade Pass and Sahale Arm,North Cascades -- North Cascades Highway - Hwy 20,"12.0 miles, roundtrip",4000,7570,4.43,Ridges/passes|Wildlife|Dogs not allowed|Lakes|Wildflowers/Meadows|Mountain views|Established campsites|Waterfalls|Old growth|Fall foliage,"In Sahale Arm, the forces of nature have conspired to create an improbably gentle, gorgeous landscape. A scenic trail ambles peacefully through rolling alpine meadows blanketing the broad shoulder of Sahale Mountain. This park-like setting is made all the more spectacular by contrast with the dramatic mountainous terrain that stretches off in every direction near and far. Simply put, this is one of the most beautiful hikes in all of Washington.",roundtrip,12,North Cascades
Burch Mountain via Falls Creek,North Cascades -- Pasayten,"10.0 miles, roundtrip",3200,7782,2.67,Wildflowers/Meadows|Mountain views|Fall foliage|Ridges/passes,When the deeper backcountry is under snow (or just too far away) Burch Mountain can provide a beautiful day hike with views aplenty.,roundtrip,10,North Cascades
Copper Glance Lake,North Cascades -- Pasayten,"6.8 miles, roundtrip",2560,6260,4.29,Wildflowers/Meadows|Mountain views|Lakes|Fall foliage,"This hike through history, both natural and mining, leads to a beautiful emerald lake below the rocky cliffs of Isabella Ridge. The mix of old mining road and steep trail passes through burnt forest, past an old mine, through flowered meadows, and across a boulder field to reach Copper Glance Lake.",roundtrip,6.8,North Cascades
Heather - Maple Pass Loop,North Cascades -- North Cascades Highway - Hwy 20,"7.2 miles, roundtrip",2000,6650,4.81,Wildflowers/Meadows|Ridges/passes|Wildlife|Mountain views|Old growth|Lakes|Fall foliage,"If ever there was a hike to satisfy all a hiker's desires, this one comes as close as any. A loop hike with many fabulous changing faces throughout the seasons, Heather-Maple Pass features ridgelines blanketed in wildflowers in summer, lakes ringed with golden larches in fall, and before the highway closes for the season, a dramatic place to experience early winter’s snows.",roundtrip,7.2,North Cascades
Blue Lake,North Cascades -- North Cascades Highway - Hwy 20,"4.4 miles, roundtrip",1050,6254,4.37,Wildflowers/Meadows|Mountain views|Wildlife|Dogs allowed on leash|Good for kids|Lakes|Fall foliage,"At 6254 feet, Blue Lake sits quietly a little over two trail miles from Highway 20. With towering granite peaks, forests, meadows, wildflowers, and of course the beautiful mountain lake surrounded by granite that reaches for the sky, this short hike is easily a classic and should be on your must-hike list. With only 1050 feet of elevation gain this hike is doable for almost everyone. If you’re driving over Highway 20 and don’t have all day, stop for this mountain gem.",roundtrip,4.4,North Cascades
Harts Pass to Rainy Pass,North Cascades -- North Cascades Highway - Hwy 20,"30.6 miles, one-way",3800,6900,3.00,Ridges/passes|Wildlife|Lakes|Rivers|Wildflowers/Meadows|Mountain views|Established campsites|Old growth,Walk along the Pacific Crest Trail through some of the most stunning landscape Washington has to offer. Traverse the treeline as you enjoy sweeping views and mountain passes.,one-way,61.2,North Cascades
Cutthroat Pass via Cutthroat Lake,North Cascades -- North Cascades Highway - Hwy 20,"11.4 miles, roundtrip",2300,6800,3.50,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Fall foliage|Ridges/passes,Take this gentle trail to a beautiful alpine lake surrounded by rocky cliffs before heading up some steeper switchbacks to a pass and junction with the iconic Pacific Crest Trail.,roundtrip,11.4,North Cascades
Cutthroat Pass via the Pacific Crest Trail,North Cascades -- North Cascades Highway - Hwy 20,"10.0 miles, roundtrip",2000,6800,3.80,Wildflowers/Meadows|Mountain views|Wildlife|Established campsites|Ridges/passes|Dogs allowed on leash,"Cutthroat Pass is a stunner no matter which way you access it. This way, you'll enjoy a wider, more well-maintained trail, and you're more likely to share it with Pacific Crest Trail thru-hikers.",roundtrip,10,North Cascades
Mount Townsend,Olympic Peninsula -- Hood Canal,"8.0 miles, roundtrip",3010,6260,4.28,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Waterfalls|Old growth|Summits|Fall foliage,"Mount Townsend offers rhododendrons in May and June, wildflowers June through August, then berries in August and September and fall colors in, well, fall. Add in old growth, some tucked away waterfalls, and a windswept, turtleback summit with views north across the Strait and San Juans, west and south into and along the Olympics and east across the Sound to the Cascades, and you've got the perfect year-round hike.",roundtrip,8,Olympic Peninsula
Grouse Mountain,Eastern Washington -- Palouse and Blue Mountains,"5.0 miles, one-way",400,4000,5.00,Wildflowers/Meadows|Mountain views|Dogs allowed on leash|Ridges/passes|Summits|Good for kids,A great first-of-spring hike for the whole family less than an hour from Walla Walla. A top of ridge hike looks down into the North Fork of the Umatilla River.,one-way,10,Eastern Washington
North Fork Skykomish River,Central Cascades -- Stevens Pass - West,"10.0 miles, roundtrip",1000,4000,2.83,Wildflowers/Meadows|Ridges/passes|Established campsites|Mountain views|Old growth|Summits|Rivers,"This hike is a tree hugger's paradise. Huge old growth Douglas firs and hemlocks soar into the sky from a lush green forest floor dotted with woodland flowers. The trail gently ascends only 700 feet in the first four miles, and the slope you hike up is laced by many clear flowing streams bridged by old puncheons.",roundtrip,10,Central Cascades
Rainy Lake,Snoqualmie Region -- North Bend Area,"13.0 miles, roundtrip",2700,3750,3.87,Wildlife|Waterfalls|Dogs allowed on leash|Old growth|Lakes|Rivers,"This is an abandoned trail that heads south along Rainy Creek off of the downstream section of the Middle Fork Snoqualmie Trail up to Rainy Lake. The lake is popular among fisherman, since it is home to lots of trout, but be warned -- route-finding skills are a must on this trip.",roundtrip,13,Snoqualmie Region
Nordrum Lake,Snoqualmie Region -- North Bend Area,"19.0 miles, roundtrip",4172,3675,2.86,Mountain views|Dogs allowed on leash|Established campsites|Waterfalls|Old growth|Lakes|Rivers,"A steep and seldom traveled trail settled in what is now Alpine Lakes Wilderness, Nordrum Lake provides giant old-growth conifers, rivers, streams, waterfalls – and quite a workout! This narrow path cuts off the Taylor River/Snoqualmie Lake trail after about 6.5 miles, and doesn’t stop climbing until you reach the lake at about 3675’. But don’t worry, the giant cedars and firs provide shade throughout the entirety of the hike, keeping you cool on even the hottest of summer days.",roundtrip,19,Snoqualmie Region
Bob Heirman Wildlife Preserve,Puget Sound and Islands -- Seattle-Tacoma Area,"3.0 miles, roundtrip",82,92,2.20,Wildflowers/Meadows|Wildlife|Good for kids|Dogs not allowed|Rivers,"If you just need some quiet time in nature and are not looking for a big workout, this little walk will be perfect. There is good access to the Snohomish River where you can find a place to throw a line in the water plus some good birding opportunities near the small lakes.",roundtrip,3,Puget Sound and Islands
North Fork Skokomish River,Olympic Peninsula -- Hood Canal,"15.2 miles, one-way",3568,4688,3.50,Mountain views|Dogs not allowed|Rivers|Established campsites|Ridges/passes,"Hiking through lowland forest rivers, the North Fork Skokomish Trail leads through the thick Olympic forest to subalpine meadows with unbelievable views of the heart of the craggy, snow-capped Olympic Range.",one-way,30.4,Olympic Peninsula
LaCrosse Basin,Olympic Peninsula -- Hood Canal,"18.5 miles, one-way",5588,4400,3.00,Ridges/passes|Wildlife|Dogs not allowed|Lakes|Rivers,"Nestled deep within the heart of the Olympics, LaCrosse Basin is steeped in rich history as well as views that never relent.",one-way,37,Olympic Peninsula
Gladys Divide,Olympic Peninsula -- Hood Canal,"18.0 miles, roundtrip",4000,5050,3.29,Wildflowers/Meadows|Mountain views|Wildlife|Dogs not allowed|Ridges/passes,Find solitude among expansive views of the Olympic interior on this strenuous but rewarding backpack.,roundtrip,18,Olympic Peninsula
Flapjack Lakes via North Fork Skokomish River,Olympic Peninsula -- Hood Canal,"15.4 miles, roundtrip",3050,3850,4.06,Dogs not allowed|Rivers|Lakes|Established campsites|Waterfalls,"This is a burly day trip, but a great overnight destination for exploring the Sawtooth Range in the Olympic high country.",roundtrip,15.4,Olympic Peninsula
Dry Creek,Olympic Peninsula -- Hood Canal,"6.0 miles, roundtrip",800,1600,2.60,Dogs allowed on leash|Good for kids,"Climb through second-growth forest to a not-so-dry creek, while enjoying spring wildflowers and views of nearby Lake Cushman and surrounding peaks.",roundtrip,6,Olympic Peninsula
